District,Latitude,Longitude
Cilandak,-6.2897595,106.7728423
Jagakarsa,-6.33033,106.7904438
Kebayoran Baru,-6.243176,106.7838308
Kebayoran Lama,-6.2492345,106.7453618
Mampang Prapatan,-6.2502419,106.8045058
Pancoran,-6.2579046,106.8261318
Pasar Minggu,-6.2897726,106.8215664
Pesanggrahan,-6.2542105,106.7201682
Setiabudi,-6.221734,106.8128793
Tebet,-6.22548,106.8332543
Cengkareng,-6.1548783,106.7029544
Grogol Petamburan,-6.1639225,106.7690508
Taman Sari,-6.1461226,106.8018649
Tambora,-6.146278,106.7831753
Kebon Jeruk,-6.1914651,106.7306073
Kalideres,-6.1360601,106.6738798
Palmerah,-6.1909515,106.7788638
Kembangan,-6.1910541,106.7062853
Cilincing,-6.1274945,106.9047308
Kelapa Gading,-6.1596475,106.8830528
Koja,-6.1204506,106.8887248
Pademangan,-6.1291514,106.8228804
Penjaringan,-6.1168595,106.7256888
Tanjung Priok,-6.1275785,106.8356447
Cakung,-6.1853805,106.9010924
Cipayung,-6.3274725,106.8680483
Ciracas,-6.32884,106.8439553
Duren Sawit,-6.2343221,106.8990803
Jatinegara,-6.229232,106.8587078
Kramat Jati,-6.2746635,106.8303242
Makasar,-6.2708135,106.8621593
Matraman,-6.2038086,106.8532718
Pasar Rebo,-6.324872,106.8207463
Pulo Gadung,-6.1907485,106.8741188
Cempaka Putih,-6.181226,106.8495638
Gambir,-6.171483,106.8087547
Johar Baru,-6.1830285,106.8455652
Kemayoran,-6.1627276,106.8417493
Menteng,-6.1951476,106.8294022
Sawah Besar,-6.1554975,106.8151548
Senen,-6.184842,106.8279297
Tanah Abang,-6.2053745,106.7899548
